path,toolid,TP,FP,FN,TN,total_rows
handcrafted_tests\bins\0_4\cross-contract\read-only\ReadOnly_ree3,securify,0,0,2,0,2
handcrafted_tests\bins\0_4\cross-contract\read-only\ReadOnly_ree3,teether,0,0,2,0,2
handcrafted_tests\bins\0_4\cross-contract\read-only\ReadOnly_ree3,vandal,2,0,0,0,2
handcrafted_tests\bins\0_4\cross-contract\to-target\ToTarget_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-contract\to-target\ToTarget_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-contract\to-target\ToTarget_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-contract\to-target\ToTarget_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-contract\to-target\ToTarget_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-contract\to-target\ToTarget_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-contract\to-target\ToTarget_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_4\cross-function\baseline\CrossCall_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\baseline\CrossCall_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\baseline\CrossCall_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\baseline\CrossCall_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\baseline\CrossCall_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\baseline\CrossCall_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\baseline\CrossCall_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_4\cross-function\guard\access-control\OnlyOwner_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\access-control\OnlyOwner_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\access-control\OnlyOwner_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\access-control\OnlyOwner_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\access-control\OnlyOwner_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\access-control\OnlyOwner_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\access-control\OnlyOwner_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossDoubleInitOpenZeppelin_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossDoubleInitOpenZeppelin_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossDoubleInitOpenZeppelin_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossDoubleInitOpenZeppelin_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossDoubleInitOpenZeppelin_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossDoubleInitOpenZeppelin_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossDoubleInitOpenZeppelin_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossDoubleInit_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossDoubleInit_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossDoubleInit_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossDoubleInit_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossDoubleInit_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossDoubleInit_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossDoubleInit_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexModOrder_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexModOrder_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexModOrder_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexModOrder_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexModOrder_ree1,securify,0,0,1,0,1
